Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
BAR98, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
19.64, 0, 7.63, 63,                              0, 7.63, 56,                              0, 7.63, 328, 0.0,                              45
19.72, 0, 7.71, 64,                              0, 7.71, 57,                              0, 7.71, 332, 0.0,                              45
19.8, 0, 7.79, 65,                              0, 7.79, 57,                              0, 7.79, 335, 0.0,                              45
19.89, 0, 7.89, 65,                              0, 7.89, 58,                              0, 7.89, 339, 0.0,                              45
19.97, 0, 7.96, 66,                              0, 7.96, 59,                              0, 7.96, 343, 0.0,                              45
20.07, 0, 8.06, 67,                              0, 8.06, 59,                              0, 8.06, 347, 0.0,                              45
20.15, 0, 8.14, 68,                              0, 8.14, 60,                              0, 8.14, 350, 0.0,                              45
20.24, 0, 8.24, 68,                              0, 8.24, 61,                              0, 8.24, 355, 0.0,                              45
20.34, 0, 8.33, 69,                              0, 8.33, 61,                              0, 8.33, 359, 0.0,                              0
20.42, 0, 8.41, 70,                              0, 8.41, 62,                              0, 8.41, 362, 0.0,                              0
20.49, 0, 8.49, 70,                              0, 8.49, 63,                              0, 8.49, 366, 0.0,                              0
20.57, 0, 8.57, 71,                              0, 8.57, 63,                              0, 8.57, 369, 0.0,                              0
20.65, 0, 8.65, 72,                              0, 8.65, 64,                              0, 8.65, 372, 0.0,                              0
20.75, 0, 8.74, 72,                              0, 8.74, 64,                              0, 8.74, 376, 0.0,                              0
20.84, 0, 8.84, 73,                              0, 8.84, 65,                              0, 8.84, 381, 0.0,                              0
20.94, 0, 8.93, 74,                              0, 8.93, 66,                              0, 8.93, 385, 0.0,                              0
21.02, 0, 9.01, 75,                              0, 9.01, 66,                              0, 9.01, 388, 0.0,                              0
21.1, 0, 9.09, 76,                              0, 9.09, 67,                              0, 9.09, 392, 0.0,                              0
21.18, 0, 9.17, 76,                              0, 9.17, 68,                              0, 9.17, 395, 0.0,                              0
21.27, 0, 9.27, 77,                              0, 9.27, 68,                              0, 9.27, 399, 0.0,                              0
21.37, 0, 9.36, 78,                              0, 9.36, 69,                              0, 9.36, 403, 0.0,                              0
21.45, 0, 9.45, 79,                              0, 9.45, 70,                              0, 9.45, 407, 0.0,                              0
21.53, 0, 9.53, 79,                              0, 9.53, 70,                              0, 9.53, 411, 0.0,                              0
21.61, 0, 9.61, 80,                              0, 9.61, 71,                              0, 9.61, 414, 0.0,                              0
21.7, 0, 9.69, 81,                              0, 9.69, 72,                              0, 9.69, 418, 0.0,                              0
21.78, 0, 9.77, 81,                              0, 9.77, 72,                              0, 9.77, 421, 0.0,                              0
21.86, 0, 9.85, 82,                              0, 9.85, 73,                              0, 9.85, 425, 0.0,                              0
21.95, 0, 9.95, 83,                              0, 9.95, 74,                              0, 9.95, 429, 0.0,                              0
22.04, 0, 10.03, 83,                              0, 10.03, 74,                              0, 10.03, 432, 0.0,                              0
22.12, 0, 10.11, 84,                              0, 10.11, 75,                              0, 10.11, 436, 0.0,                              0
22.22, 0, 10.21, 85,                              0, 10.21, 75,                              0, 10.21, 440, 0.0,                              0
22.32, 0, 10.31, 86,                              0, 10.31, 76,                              0, 10.31, 445, 0.0,                              0
22.4, 0, 10.39, 86,                              0, 10.39, 77,                              0, 10.39, 448, 0.0,                              0
22.48, 0, 10.47, 87,                              0, 10.47, 77,                              0, 10.47, 452, 0.0,                              0
22.56, 0, 10.56, 88,                              0, 10.56, 78,                              0, 10.56, 455, 0.0,                              0
22.66, 0, 10.66, 89,                              0, 10.66, 79,                              0, 10.66, 460, 0.0,                              0
22.75, 0, 10.74, 89,                              0, 10.74, 79,                              0, 10.74, 463, 0.0,                              0
22.85, 0, 10.85, 90,                              0, 10.85, 80,                              0, 10.85, 468, 0.0,                              0
22.95, 0, 10.94, 91,                              0, 10.94, 81,                              0, 10.94, 472, 0.0,                              0
23.05, 0, 11.04, 92,                              0, 11.04, 82,                              0, 11.04, 476, 0.0,                              0
